datetime,I_sg,CH14,CH15,T_0,T_270,T_90,T_180,I_aps,mf,CH7,CH8,pw,elapsed_time,Isg,eta,T_0_smooth,T_0_dTdt,T_90_smooth,T_90_dTdt,T_180_smooth,T_180_dTdt,T_270_smooth,T_270_dTdt
2025/10/25 10:08,10.07,24,0.4035,26.1,26.4,26.7,26.2,-0.9851,22.99972573,4.88,0.171,1.891237792,21,3.29186079,3.0590601,26.04142785,0.021227148,26.62717504,0.026186818,26.13369313,0.021078605,26.34794465,0.022072649
2025/10/25 10:08,10.07,24,0.4035,26.1,26.4,26.8,26.3,-0.9828,22.99972573,4.88,0.172,1.890946559,22,3.291441193,3.059450073,26.06264032,0.021197794,26.65333828,0.026139682,26.15474998,0.021035132,26.37000022,0.022038502
2025/10/25 10:08,10.07,24.1,0.4061,26.2,26.5,26.9,26.3,-0.9854,23.1824174,4.89,0.171,1.897506525,23,3.314669455,3.038010317,26.08382346,0.021168492,26.67945444,0.026092649,26.17576343,0.020991773,26.39202168,0.022004425
2025/10/25 10:08,10.07,24.1,0.4046,26.2,26.5,26.9,26.4,-0.9831,23.06565373,4.89,0.174,1.89663251,24,3.304620734,3.047248326,26.10497732,0.02113924,26.70552362,0.02604572,26.19673357,0.020948529,26.41400909,0.021970418
2025/10/25 10:08,10.06,24.1,0.4039,26.2,26.5,26.9,26.4,-0.9824,23.01124302,4.88,0.173,1.890655221,25,3.291890091,3.055995104,26.12610196,0.021110039,26.73154592,0.025998893,26.21766052,0.0209054,26.43596253,0.021936479
2025/10/25 10:08,10.07,24.1,0.4024,26.2,26.5,26.9,26.4,-0.9828,22.89481794,4.88,0.173,1.890655221,26,3.282252233,3.068015279,26.14719742,0.021080888,26.75752144,0.02595217,26.23854441,0.020862385,26.45788207,0.02190261
2025/10/25 10:08,10.07,24.1,0.4058,26.3,26.6,26.9,26.4,-0.9828,23.1590462,4.88,0.172,1.890946559,27,3.303403217,3.048371434,26.16826375,0.021051789,26.78345029,0.025905551,26.25938533,0.020819484,26.47976778,0.021868809
2025/10/25 10:08,10.06,24.1,0.4024,26.3,26.6,26.9,26.4,-0.9818,22.89481794,4.88,0.174,1.890363777,28,3.281857708,3.065337042,26.18930101,0.02102274,26.80933257,0.025859034,26.28018341,0.020776698,26.50161971,0.021835078
2025/10/25 10:08,10.03,24.1,0.4046,26.3,26.7,27,26.4,-0.9818,23.06565373,4.88,0.171,1.891237792,29,3.296825695,3.04232038,26.21030925,0.020993742,26.83516839,0.025812621,26.30093877,0.020734026,26.52343796,0.021801417
2025/10/25 10:08,10.02,24.1,0.4046,26.3,26.7,26.9,26.4,-0.9788,23.06565373,4.88,0.173,1.890655221,30,3.295983915,3.04006338,26.23128851,0.020964795,26.86095785,0.025766311,26.3216515,0.020691469,26.54522257,0.021767824
