epoch,0,1,2,3,4,5,6,7,8,9
1,0.19383890242713475,0.19081888774234507,0.1884273800892303,0.1962586659291837,0.16601097437010576,0.14997053924966922,0.21188891389053371,0.19983766755309226,0.1736369957436057,0.15112826657255368
2,0.1676300981928276,0.18070563791641256,0.18261823806868496,0.18359425727287176,0.1463000091001908,0.13924096421540905,0.20421917278301485,0.18663249397689782,0.15942244945356449,0.13670784361798186
3,0.15937117894584898,0.1756210020567328,0.17159764713272654,0.178008622499774,0.133870100274078,0.1277904262111975,0.19437929369486387,0.17547558593682064,0.15134599598855003,0.13480083033377782
4,0.15070929762329896,0.17263064841939763,0.17039673323354207,0.17507943347372162,0.1382059611627347,0.11731668345532571,0.18563986004325922,0.1684502918166857,0.15286071191355352,0.12866379593787924
5,0.1496940744047308,0.1722221066527295,0.16954007499332374,0.175174662586136,0.13427174643207793,0.11742188934635726,0.18818994579670556,0.16989402981316776,0.14117510804029829,0.13340107145822822
6,0.15080916388466112,0.16936257822685455,0.1707854905871529,0.16738890210606283,0.12815249310902577,0.11261341533899685,0.18284677159797602,0.15982722002101948,0.13779618241248207,0.1321239292873714
7,0.15070381004213396,0.16392157951141448,0.16634965838743218,0.16700136706012556,0.12777541956447352,0.111475925880575,0.17293452841835796,0.1546500244887851,0.13168850178104427,0.12712732980735023
8,0.1479182635868086,0.15966165745945238,0.15737893439443226,0.16757357486691943,0.11821070058086801,0.1046252651054574,0.17126370223770274,0.1520267146571991,0.12483214492713891,0.12329351970282527
9,0.14273251705077505,0.15539571757575874,0.15468137854206587,0.1676388761578674,0.11667612876867156,0.10666211386817137,0.16858903439903203,0.1485632627180338,0.12257749480139594,0.11952565077214748
10,0.13893238634882676,0.14959551819257774,0.157333503510732,0.1602871987526901,0.10217440568660335,0.09595927680160204,0.1655833225624207,0.14306008517000868,0.12004147446180159,0.11624827306115884
11,0.1351712866230057,0.14572941463654776,0.14769944109287936,0.1566208491601163,0.10653832510278778,0.0934505298948113,0.16265420245476805,0.13863749144981205,0.11383288997293389,0.1129643719103115
12,0.13280495453886285,0.149931032001525,0.14716390035836724,0.1534372054192382,0.10721040197443141,0.08837810273621889,0.1642455487656965,0.13910621132885032,0.11396749406754854,0.11312296101539818
13,0.13290459581301392,0.14102463099075185,0.14591897567138135,0.15322872633668694,0.10352912850743805,0.08844987643654022,0.15770411381080318,0.135856285443968,0.10622237421369442,0.1088998213612411
14,0.12297629421096538,0.14081594960389116,0.13970198638310366,0.1443560221097196,0.09331741966435975,0.083550363047985,0.15223226380433294,0.13520872828225564,0.10523612806818324,0.10380101898491144
15,0.12773951015591117,0.13480018089762316,0.14103077255005914,0.14572737596796373,0.09297467541444376,0.08204010790729244,0.15230857614237936,0.12621406227808007,0.1030817024051955,0.10153673835625118
