,0,1,2,3,4
0,0.07539225771722186,0.08854206578314341,0.10625954262571842,0.08964502602363002,0.09638315540131205
1,0.0683818984391694,0.07271101666670904,0.08493432910844544,0.07628660853394947,0.08227038439000446
2,0.07568785440080833,0.06946984644396503,0.07836319553250189,0.07502335542378201,0.07371398286739755
3,0.06358567177172961,0.06632619829154021,0.07576533179876419,0.0643573287498266,0.06849261989981335
4,0.06729737684338656,0.06868359788991077,0.0716381702449734,0.06696082053698921,0.06649126193128808
5,0.07583882808864816,0.07385814740032551,0.06890580582637744,0.06367058811174431,0.07034536428116002
6,0.06415171299136342,0.06404427699515051,0.06404301184128978,0.06889037910191721,0.06258014294112689
7,0.07161419030283958,0.0686521290033707,0.06303342044594164,0.06414721240810083,0.06765496882113202
8,0.06672984407326034,0.07041653909732805,0.06734140824076593,0.06778584416197088,0.06500017045759812
9,0.06357471140657439,0.0641851489714623,0.06782045464950656,0.06502665037563572,0.06856307945619491
10,0.06624672114045192,0.06597065056670197,0.06316807687537955,0.06627814123141887,0.06278532435515059
11,0.06826575203196379,0.07458215449121265,0.060541468040473466,0.065223725528957,0.06209765697096986
12,0.06165284972329766,0.06535302838302079,0.07258447016254299,0.06491292242783754,0.06370361142748225
13,0.06838797243581239,0.0616024905898646,0.06659790389787815,0.06623595856480877,0.06766685795820575
14,0.0646752445963373,0.06368062889443181,0.06435327309088626,0.06423214759319201,0.06852721658323138
15,0.07488817493757459,0.0690377802700067,0.06557586340359461,0.06557464200164623,0.07968985528363648
16,0.06256616338785254,0.07476683323680117,0.06339153316835487,0.06152952822554654,0.08262635827174442
17,0.06036632675138807,0.06339807426245161,0.060766446844067214,0.06484441756858517,0.06111422757470315
18,0.0645966665415076,0.07572136828429445,0.060962150781039726,0.05931547248967035,0.06566733289173311
19,0.06762830615841904,0.05995888690983435,0.06315844859439958,0.06000320858124826,0.07480740816133866
20,0.06143813047007951,0.08490926991168708,0.0869081313006085,0.06306920287262924,0.06984858654544689
21,0.0598488416883632,0.061901085829421484,0.06648389750554605,0.07198819183007897,0.06312672238549549
22,0.07042613383894715,0.061187940107302885,0.06226223931626554,0.05858990736123137,0.0617714982428529
23,0.06380927846521928,0.06831132017165556,0.06299969104069496,0.06356435719780387,0.06969475247615982
24,0.06588432371730733,0.06433979821911358,0.06380579736500284,0.06034662410135654,0.07760707421211123
25,0.06278179389628771,0.059572131879570146,0.061637479429279274,0.0637994185040396,0.06535153561128107
26,0.06198138711695762,0.06120189969141495,0.0670260542576515,0.06772896409559352,0.061153990456246955
27,0.07809724016526642,0.0705684236237595,0.059766547813022985,0.06529250638605807,0.06248067579446767
28,0.062286584415492126,0.06190961218582888,0.06459866693894838,0.06766836502812695,0.07318889268373423
29,0.06366762969134286,0.06062852637552472,0.06597515733712037,0.061104210890316514,0.06506806047907089
30,0.06311909081990946,0.06161192744192283,0.060161678499667075,0.06675425670120383,0.0647515447114275
31,0.06841944371407796,0.07013282070306469,0.06146124504386267,0.06192533791997629,0.05926201337761585
32,0.06442600821333246,0.062691677736822,0.06558983689531285,0.06046781454175932,0.06465227253997367
33,0.06385127753078991,0.06652027396443193,0.06916309021352865,0.06461858823810235,0.06195222260766822
34,0.06215997492624078,0.06266814576164231,0.0596425212906432,0.06477534782538229,0.07037477583176159
35,0.06245233163360714,0.06098608333028466,0.06720009508289411,0.07115981718507025,0.063028437359959
36,0.06637094063836887,0.07055566714450119,0.060057446228477744,0.06103652952556645,0.06149895877387996
37,0.06193753746622937,0.06279721223484824,0.061030731040752226,0.06297740916378769,0.05928581537045064
38,0.06196508381165871,0.060557995051921255,0.06517509490952936,0.06454339353036871,0.06818825557466694
39,0.05963674928843408,0.06219646013708308,0.061605289294488406,0.06276669820371793,0.061174260887056554
40,0.06596182318064245,0.062323628733324796,0.05947335357131931,0.06192967852701522,0.06498133715251968
41,0.062424373693073264,0.06298729060377263,0.061312368291335226,0.07795017171595986,0.06730117897745576
42,0.06775492736935461,0.06256113191922776,0.06938344711242857,0.06965718597905941,0.06310832612497035
43,0.06219755322100427,0.06426713580176542,0.0689417959726711,0.06059844950646903,0.06110695811702972
44,0.062144241128395714,0.06292721649376426,0.05982991816614777,0.0650182964348642,0.06648577458357502
45,0.06292058944644041,0.0723769580410665,0.06597778290951845,0.062155011717682104,0.06660072516309316
46,0.06074467006896753,0.06787030130376556,0.06018212647431197,0.06497695136518618,0.06024943053811881
47,0.06588863143817887,0.060221520844649865,0.06252781427887603,0.059010848994634005,0.059074909789857584
48,0.0637890387194578,0.06041322076907401,0.0641762102268191,0.06397935469754606,0.06187237831543736
49,0.05951310561166328,0.06488160915395697,0.06083566489035504,0.05909644691896114,0.0606130999199614
50,0.05993205401505057,0.06543778611351066,0.060577567458200615,0.06092345506864927,0.06373863406398424
51,0.060132119290005254,0.06091595835974898,0.07870360924846512,0.06731086843163801,0.06741095038341528
52,0.06431802766124825,0.06148166790192745,0.061829501990119315,0.06566741444067446,0.06312395609568476
53,0.06113548806158102,0.06564783269609735,0.07415760181559673,0.07513341275669824,0.06735137883519604
54,0.06262036743228282,0.06026688757405396,0.061321876368517526,0.06446799193494539,0.06401899826272044
55,0.0641828382221353,0.06271341514088866,0.06010672532459695,0.061831569318535826,0.061634342202182356
56,0.07018510217765922,0.06319830869046207,0.06715433111506955,0.0596245026735142,0.06038365937992791
57,0.06352086355277027,0.06419130089063534,0.06282494681430467,0.059786649976312924,0.0591079048376757
58,0.06973181125108648,0.061477308918504274,0.06374736754157338,0.060464443344825085,0.0670779005189521
59,0.0673701025544376,0.05925347147577189,0.0620977919502021,0.05992142395822103,0.06256327555296723
