epoch,0,1,2,3,4
1,0.1794637551686186,0.18463246747142328,0.1812987648377949,0.1881681498280986,0.15665003113318657
2,0.16377544835956154,0.1719766013079075,0.17550754430781373,0.17455894096009278,0.13921755226125232
3,0.15130037248227432,0.1637436231525378,0.16491412337467076,0.16680352110653918,0.13304968999504363
4,0.14825206391978887,0.1588155759515771,0.164294283488646,0.16286768557350267,0.1326514417543004
5,0.14780173173759048,0.15587913488312266,0.15758819337035548,0.16222697898394267,0.1282095214554489
6,0.14754614357775597,0.15429829946898588,0.15501131569219467,0.15409194640699872,0.12542527097460235
7,0.13502294051883354,0.1499897208268038,0.15318968851595377,0.1434815733128344,0.12194800925781488
8,0.1372468490112943,0.148170915692048,0.14455330525763954,0.137318609896538,0.10573245125242808
9,0.12745167336450397,0.1379721273697929,0.13889824161894432,0.1359438461707798,0.10311930290293356
10,0.12575780371602946,0.13104069659258633,0.13821528714943898,0.1295426151135189,0.09344495876708706
11,0.11718157117468887,0.12609601825909839,0.12773758537154495,0.12162204068809057,0.0911293923218148
12,0.11131514925377034,0.12561508926042764,0.11784874799868127,0.1104084813334923,0.08340279625841393
13,0.10522747699697874,0.11508695418341426,0.10745401335178877,0.10521776305405095,0.07932913387131171
14,0.09963398049823866,0.10437888393057095,0.11442643951381903,0.09719748024891403,0.07247821686663661
15,0.09376773070513852,0.09965090259985648,0.10567041825730566,0.08845564634991376,0.07076018912725554
16,0.09411166881481009,0.09362727317928038,0.09770630983932684,0.08285952955552027,0.06643028034855035
17,0.08158062733434722,0.08560565253065479,0.09312167812989587,0.06450488078817453,0.06251097374183519
18,0.08215781223662548,0.0896783269866568,0.08928128587009723,0.06680719215066153,0.0623107088850528
19,0.07698684077226836,0.07769560230329578,0.07820933975140129,0.0577129743728358,0.05465965754332515
20,0.06783459388621853,0.0701158143549273,0.07010934541462324,0.05534793783338755,0.05529765366946215
21,0.059043002439332186,0.06853826820698575,0.06539609744303809,0.0551023817926342,0.05267793009925552
22,0.06140522347507086,0.06575715617640586,0.0626794838160886,0.05051081890384101,0.05259275626409914
23,0.05463944179752669,0.05975943974358921,0.06123134743213641,0.04844911343803669,0.05108534562257627
24,0.0499765269307828,0.061817906347938927,0.05610740355988211,0.045946838851227724,0.046062586845422186
25,0.052939569863333355,0.05559393790662529,0.05415095508718092,0.046250348661693676,0.04626059199845913
26,0.04538405601484188,0.052975955584854836,0.04976278533873504,0.040603267835719464,0.04387705455651988
27,0.04541091508128784,0.05620667482838782,0.04903678180495376,0.0432957095370824,0.04222165663255221
28,0.04396098705069985,0.04859137838255424,0.04393413719498454,0.04107528559523213,0.04264671582001291
29,0.04467597290902512,0.048348452543235304,0.04500582873325127,0.04038933874817783,0.04253017734487739
30,0.04063488153488324,0.04881348151927853,0.04398680820603693,0.038979624213169875,0.04015892538711814
31,0.03941522432567605,0.047947386242408956,0.04732030216278019,0.03590131718518169,0.039736098712812966
32,0.037773630828125994,0.043496822238452026,0.03979624558804017,0.035128370462711604,0.03931325359277936
33,0.03661979514044769,0.04205584414080495,0.03913837454944795,0.035988120069363326,0.040046153371063965
34,0.03418098515363313,0.04023940566472851,0.04137843745407302,0.03372196352857091,0.03997936100955612
35,0.03525082628897767,0.042667871676268836,0.04184159038323408,0.03349420984269823,0.04027644592022919
36,0.03492715984663995,0.04088586478736929,0.04239447291554812,0.03211081373687778,0.04033705983668355
37,0.033960300789400225,0.03706595898992668,0.04166888657010804,0.03403441517284794,0.040595806847559805
38,0.03327349785449736,0.03722130684313693,0.04243576641019832,0.03488689792754906,0.04020436693294039
39,0.03366094400741995,0.03467307422546568,0.040400911078398355,0.032140669727271136,0.040140949847665405
40,0.03403484615535793,0.03517493440243041,0.04065975137956654,0.03469597833405114,0.03903964834563794
41,0.03249973060881399,0.03694370740776482,0.04386667925361042,0.03339500416570188,0.04019055260018556
42,0.031736111566768546,0.03839294326132363,0.04625269702751137,0.03393015201142159,0.04037983027003663
43,0.033494550458093644,0.03679213476374895,0.044076072015842335,0.034137657413548385,0.04024576846391806
44,0.03348191061109649,0.03599058653999262,0.04554234768056052,0.03489020967866277,0.040341369942460875
45,0.03236048859039046,0.034390551804226774,0.043494222028600364,0.03500856898934897,0.041227131696776186
46,0.03404764829372802,0.03528682645791046,0.04421490257816022,0.035100594813093654,0.041507385612951364
47,0.0329579529777495,0.03401451733524398,0.04939557321398991,0.03556055798595618,0.04189541944704891
48,0.03381994681304931,0.03402142327693694,0.04732362817670512,0.03542528756809605,0.04090429421219805
49,0.033505041801241975,0.03299888209290418,0.04636671990397435,0.03599535726579314,0.04195869157798449
50,0.03214724308763903,0.0330738661581573,0.04788990576781183,0.03572082030676377,0.0405300581838827
51,0.0334559537226364,0.03425629239695225,0.0489558266613492,0.036389116839383416,0.041775404460208596
52,0.031506920225135154,0.03333691506185077,0.048725810143627445,0.03786976150158364,0.0410293842692817
53,0.03219696875236622,0.03418881941466558,0.04874012646885772,0.03818563866810353,0.04248658360942946
54,0.03275753019105704,0.03305303963919945,0.04851408343622592,0.03725087487460273,0.0415347503604428
55,0.031177742687851055,0.03468328124351388,0.05089490121060935,0.03631293340648394,0.041573330372945354
56,0.031175632949407547,0.03447352535243697,0.04950323455395185,0.03665960194611193,0.040286917948664513
57,0.031300570875379914,0.033829872686928365,0.050913199145384294,0.03736836942154979,0.039761674191489016
58,0.03315964123400884,0.034636901649451664,0.04966732089602319,0.037509213497882346,0.04088531382637899
59,0.03219373070955671,0.03478270670936968,0.05076031299110848,0.039378812234968946,0.04051588367533317
