epoch,0,1,2,3,4,5,6,7,8,9
1,0.17488136953815572,0.17474139255737345,0.16720659868834745,0.1621679809066766,0.1731457120163401,0.1523611963503779,0.1777047876736248,0.18631403087996684,0.1602915099644554,0.1554981321336881
2,0.15971863668904607,0.15812230105980396,0.16144079195122754,0.151023715010239,0.14902066819403903,0.1437642974066675,0.16940390906715874,0.17723366139424732,0.1506209158442625,0.1404734496899394
3,0.15639638600032213,0.15468887439271342,0.15959517543216656,0.15315376031109432,0.14433787271030796,0.12467429449069403,0.1624134326023286,0.16939040631259988,0.14588287837394176,0.12409542277478401
4,0.1510075573115561,0.1528967942565746,0.1511242670801847,0.13991507836921518,0.13366934717620801,0.11402494387074305,0.1485631059964041,0.16356038277027912,0.14092743987826586,0.1320259491008709
5,0.14538239828343155,0.1597205900688214,0.141510993669457,0.14255158948226235,0.13265750760851602,0.11513354852791481,0.139598837627187,0.15353669247685484,0.13569456403979305,0.12908069770944924
6,0.1345730317592633,0.1482646085849222,0.13072237273213572,0.13152468638539516,0.11771204298708864,0.11157648091105903,0.1374322800332394,0.15379146904451663,0.12650476657703869,0.11891017184889147
7,0.13167813358165176,0.13644356963199158,0.12954439086197886,0.12194471764650072,0.11036350810118417,0.10370386749709877,0.130409692200993,0.1494563485439526,0.1256575426254821,0.12296203307137499
8,0.11388696495504495,0.13557138606143052,0.1260352035184234,0.10762518802819127,0.1086609556963617,0.09682016089513787,0.125138035197662,0.12607623009292468,0.11488175590441722,0.11329169060836732
9,0.11670441396473615,0.13216862557305625,0.11579481925035201,0.1028797891902437,0.102829159500003,0.09609557960288169,0.11858185295068706,0.13567550997514338,0.1138672061481755,0.10726600088455121
10,0.10760244884747706,0.12937955949645533,0.11224882975798783,0.09801504503750809,0.09394907676150267,0.08955681113905173,0.11462534780823949,0.12784591873304385,0.10992258802344002,0.10150889669382628
11,0.10005239998811849,0.1294705869170083,0.0976125667145455,0.08464082615021959,0.08372977944996424,0.08819633668518927,0.11081341920026047,0.12951898887224578,0.09662318264237918,0.10024417295608705
12,0.08862759181787289,0.11799915092524453,0.09849751512484119,0.08543738691975464,0.07731815574523397,0.08788318867483788,0.102352290124784,0.12017005051802773,0.10025379749428197,0.10469134238294424
13,0.08989750249284771,0.11613909720728878,0.09203559697640952,0.07751380138985703,0.0744013328627773,0.07512589135926502,0.10372822450434167,0.11684515937394906,0.08880182104920316,0.0858594963048576
14,0.08033560726127945,0.1101516668570204,0.08638605185244193,0.07029856437761023,0.0656134565452909,0.07464646708105162,0.09582251769777372,0.11007254274345146,0.09031841587866461,0.08784099343119561
15,0.0813286443111099,0.10499791288714119,0.08193369014038672,0.06905774264650265,0.058947850201801225,0.07530973448167157,0.0946862980715947,0.1073012194578187,0.08229555680892486,0.07893561982757093
