epoch,0,1,2,3,4,5,6,7,8,9
1,0.017083836248904173,0.016679610136620993,0.016960295051454993,0.01685730130603648,0.018463525689140118,0.01745634562243255,0.016694435855435927,0.018095190888363796,0.017644468914383822,0.017382290851073744
2,0.016510061768116733,0.01766158941673747,0.01587274125405656,0.016525535370001537,0.016180357614553373,0.01892815496899289,0.017661071157097342,0.016671477037437713,0.016699925555502086,0.016087146900054874
3,0.015869107613162403,0.016336571870492624,0.015589313340913504,0.016602725626366964,0.015313021604743097,0.01598954829097355,0.01611137198205094,0.01563654506601423,0.015567496777868672,0.01756126618574749
4,0.01554186738914195,0.016248278383379604,0.015871156051005524,0.015634207136256916,0.015634185728437736,0.017698226194359228,0.016094549084588655,0.017184177668207273,0.015297423566626207,0.0162434996687387
5,0.014990509019814652,0.016841839609906997,0.015639137600045164,0.0170774815329426,0.015587947170339985,0.01488767703503431,0.015585637430299743,0.016491317038692572,0.01637485806081949,0.015224187242095124
6,0.015823813958983197,0.015014088724915423,0.01613742561951786,0.01599314546895546,0.015128603132459452,0.015447337148870739,0.015232481689821142,0.016836543115169543,0.015836209276793172,0.0165929368695651
7,0.01570575769291049,0.016989925044811567,0.01538840744458536,0.015980890088411883,0.01732620716241884,0.015000536342186364,0.015591145137816372,0.015759439194230056,0.015142321030556004,0.016098620869149337
8,0.01782070032195904,0.015331437735702265,0.01490615300299667,0.015914006266590557,0.015272124661946815,0.01527292216951741,0.014990745393604038,0.020335399404130372,0.015407452697439945,0.015527433175453251
9,0.01648443642374319,0.015840359410712976,0.014956507597325986,0.015211351566055896,0.015755695376211198,0.015181483901196563,0.01604007125079033,0.016243342892335443,0.015787907072087434,0.01516871330008524
10,0.015673442156962317,0.015575879342372565,0.01604405164970727,0.015544376013702926,0.014866297135644772,0.014596894101031568,0.015274132167190922,0.015057468317362124,0.015495402656491287,0.014446019305919358
11,0.014936788007295412,0.015316696436621712,0.015357999143087057,0.01650778143717799,0.015119013987860787,0.014652884821504477,0.01678211539539392,0.01444767677310132,0.015733353421770336,0.01477358427402233
12,0.01619280082790457,0.014693118536858004,0.014497594728328778,0.014721616109074952,0.014436160220425863,0.01595632372936976,0.014777103736516741,0.01459015038275313,0.015495080068235701,0.016845826653013797
13,0.014839398889847444,0.015835044985891306,0.014089060575221322,0.014372986064980008,0.015307465636949638,0.014464810418329562,0.014711095000268182,0.01523380379721652,0.015560359163182732,0.014905922609646103
14,0.015532326329974248,0.014521301913093145,0.014437634876037152,0.015440708989406351,0.015745173938916064,0.014422952665603167,0.015287922227355175,0.015847794224058766,0.014463924588973017,0.015988061136060522
15,0.015248992159057404,0.015076431649679804,0.015431405263058726,0.015026906967849554,0.01484119381901795,0.015721292614296344,0.015188111172289133,0.015538560947408589,0.014471110767048824,0.014931217277106475
16,0.015106173717589428,0.014480653628021154,0.014352880458660932,0.015415179378407405,0.015415010401645052,0.014054584137876821,0.0151906954601977,0.014592892419708715,0.0164481624622176,0.014444311779879673
17,0.014089476808452819,0.015978155375857363,0.017658344481889413,0.014392382636582296,0.01653643149166607,0.015286974148422098,0.015239948084732174,0.014007121122613026,0.017774256782984423,0.015148935175822846
18,0.014915057027913728,0.01580824723051275,0.01481362131313238,0.014495032939995024,0.013849715879508505,0.014316430257722466,0.016590425844166125,0.015956841727990785,0.014337840983574178,0.014064375475817596
19,0.014198889456345242,0.014272228841692193,0.014054454196372636,0.014479124559747467,0.013556376251185543,0.014585772726578182,0.01401989006357622,0.016430540141053534,0.014338772659702036,0.015762509126179852
20,0.01609203082486519,0.014932816504663224,0.015225702653919164,0.01416062228899303,0.013868586228742945,0.013978937700495846,0.014155830655738182,0.013948826423940186,0.015078813598590379,0.014386733609852664
21,0.01683858966598701,0.014858244380534617,0.01485422395817361,0.014480177287557142,0.014908425017892893,0.014009470903929426,0.014333065954351527,0.015108120921519589,0.014311482855850882,0.014349626589868993
22,0.014289798929942853,0.013987022282860894,0.01442057388989522,0.014240937277132907,0.013900745844077696,0.014461412180380166,0.014736295517391787,0.013988996277772715,0.014064086284013148,0.015402028109228073
23,0.014146592266023418,0.014297745395929595,0.013879457669043214,0.013894352866714943,0.015080809686960905,0.01449604987959801,0.016437106017471816,0.015342192164421198,0.016445524919105278,0.014855172227458724
24,0.01363071243928718,0.014185299419632938,0.015571353131099943,0.01435099251370094,0.014317090934055992,0.014169017612877,0.0135802268978585,0.014247310580510904,0.01707646749037259,0.01507030856494966
25,0.014020528386993627,0.014609819409615728,0.013014289085594835,0.013375947531137867,0.013851761969255916,0.015255275798699355,0.013877283538009537,0.01456071345443793,0.015433301061143396,0.013770224421889417
26,0.013901477568918082,0.017093613753699843,0.014032586720626128,0.013979389482261458,0.014131153037895815,0.013954049449397264,0.013958392224395915,0.013867765673988773,0.012958198702674914,0.014856463265394054
27,0.013142635822027769,0.013527420494987959,0.01366471897329799,0.01314543404692013,0.017124776389920562,0.015152910055947273,0.013661215982511875,0.013782868643054032,0.01410608253940131,0.013946286956816868
28,0.014226077124616786,0.01399923265634781,0.013487944750361122,0.01374589041691359,0.012897659002804969,0.013994421118402904,0.013459532108102927,0.013549934635742058,0.014088504373408656,0.013268284833037602
29,0.013636770693394043,0.013487382101105129,0.013913279816591389,0.01534802758763297,0.014570784380573644,0.01608867192909642,0.013599425178057279,0.015371509010783973,0.013186889805966306,0.013779650725194931
30,0.013089934537502155,0.013146608514976078,0.01350744818363823,0.01726473151134712,0.012973364778613437,0.013821101990634995,0.01399721696049966,0.013653528940754027,0.013454529729773568,0.014425744136546416
31,0.013069401130165923,0.014205784597148116,0.012624871857994291,0.012845504655170464,0.014569963921315956,0.016054933743607176,0.013402249796385731,0.013096599629955128,0.013797072883098971,0.01330545790538841
32,0.015503872538603464,0.01347228916285556,0.013536750889086277,0.01495429251548983,0.015427742662722174,0.013385023116189028,0.012772210310830692,0.015172489741657136,0.01434574765110182,0.013521466068828213
33,0.013505616067768995,0.014516476962795895,0.014771873237613994,0.017655923164399887,0.013194802936405084,0.013819159296727928,0.015360019109545292,0.014443555165460394,0.01348413035935687,0.013788556105342683
34,0.013119558612431156,0.014015840963141197,0.013377885514150279,0.013355193019483907,0.014766724649768645,0.013835833885603485,0.014597956279153662,0.013964326034466058,0.015084384326387871,0.01309871281282514
35,0.014205031156363923,0.014016261447169203,0.013728903079877777,0.013353381969428292,0.013759191584339294,0.0132920010218592,0.013169121746370712,0.01461220820817083,0.012754217111361125,0.015356662143001269
36,0.0142111640582341,0.014444081575825832,0.013527041831084115,0.013111816489567317,0.01321278867202919,0.01338014024852687,0.013763874431559266,0.013044528957263248,0.0127056067481012,0.017422761879839762
37,0.013166001401543273,0.013522070346336545,0.015003457007861858,0.013040791863869484,0.01392992583450439,0.013161378373349403,0.012884363501450767,0.01485856022826609,0.01313137046902198,0.012998077567549364
38,0.014436409702825843,0.014317116852275283,0.014024866659391757,0.01502657190097154,0.012879265400272852,0.014356976404785629,0.013170847095080568,0.012683395721117634,0.01296057304549095,0.013142026278005273
39,0.012555368923051265,0.014128745732609796,0.012719563901413983,0.013057704839725341,0.014283603006858166,0.016444890465383926,0.013161533163835181,0.013968508308775131,0.013181332442827941,0.01381444199422207
40,0.012788495936235525,0.014552856083767881,0.01291525293887031,0.012588732168213221,0.013839722205417543,0.013377732139253553,0.012972118536435373,0.013421721629433876,0.012541789463201537,0.014094319392892183
41,0.012482801052111355,0.014689873661457542,0.014434390031571272,0.013219228352824878,0.013070350854837903,0.0127188396922626,0.012920740042008156,0.012797017039336313,0.01523113319402226,0.013490281408686902
42,0.016147265215351692,0.015205465604613907,0.014247087407276728,0.013423829161026336,0.01423874424628357,0.014237435522458868,0.013418584653997671,0.012808295843502604,0.012700303980858512,0.012589649957182647
43,0.012146747268758275,0.012890682775736427,0.012374641566718003,0.012245724270728528,0.013210220072318167,0.01366129693740505,0.013040846541711044,0.012680314792373602,0.012282732836733465,0.012946066425938759
44,0.012750971268025144,0.012347277613693176,0.014396600768597298,0.012647248373004533,0.013734863460227094,0.012814980236306412,0.01211682427472635,0.013319433812905393,0.013664963371641355,0.013276587879371134
45,0.012863874698345856,0.012410259114545458,0.01284789132958317,0.013602893802126039,0.013548368193113187,0.013162895794382451,0.012360523920732886,0.012974616508928399,0.0161869890123041,0.012776908093153579
46,0.012362555166892601,0.01417843742301877,0.01311503183392392,0.014426951050940901,0.012778782053619585,0.012572716151038613,0.01230577585160327,0.013766610862259025,0.013349568917032479,0.013388928236861622
