epoch,Run1,Run2,Run3,Run4,Run5
1,4.95008501692695,2.914046627543485,3.3340352908751254,3.8252408120139916,3.908170426368708
2,5.214961704248865,3.6352983399001197,3.8178450840513984,3.998881660528617,4.2564800452355325
3,5.74441090829596,3.824886898787098,4.195090176109848,4.510653706137222,4.767323275782786
4,6.0640974004970305,4.1085020813450965,3.9273157565331656,4.639263942478215,4.7382490466753975
5,6.219766964978094,4.228804749786446,3.9852264093005094,4.550620302947892,5.049499018529934
6,6.2703526039086315,4.080127443679308,3.8356667479390225,4.546043503492299,5.329571211638584
7,6.396704433237569,3.85986559757402,4.195199520926954,4.538236086491469,5.403366995974683
8,6.083421924242113,4.280352644608506,3.846857690965895,4.260603523664724,4.957410432638379
9,5.7628560847817685,3.882837061353403,3.999333803012687,4.529781761386097,5.315976609717492
10,5.897981861023225,3.850550768210555,4.072860886499961,4.2875555896769795,5.142557911266293
11,6.061590067425198,3.6614055313202765,3.847208839390167,4.2961491752028005,4.810897362130591
12,5.882188984325007,4.037971275389911,3.8209291674216646,4.426775801205729,4.856855616370686
13,5.479625242742729,3.5666521202812778,3.598587760488006,4.410336162184983,4.867121663880575
14,5.575158791782425,4.282568512750993,3.677381696114236,4.304214479243012,4.684522980432396
15,5.2875927639663045,3.9446296931959117,3.090342176435492,3.924785248536708,4.374350363319589
16,5.239854000474542,3.895579297492135,3.238283900500272,4.043625635419152,4.760253079843054
17,5.34760578095478,3.9623500855784557,3.491013024329064,4.154849856311442,4.528192580451311
18,5.186913146869153,3.959650255614699,3.563793951249894,4.1236038157120625,4.612653180812002
19,5.180399067651263,3.7705033862234445,3.4418406044616585,4.175648329415118,4.149367980629324
20,5.060717610372426,3.685426419972822,3.2919259914825605,4.079637268996109,4.203785897520517
21,5.3284006355115165,3.7501300789206877,3.6169093377286403,4.167306749134486,4.264520634928097
22,4.768780373492823,3.733126762896814,3.448033925316611,4.313451689600293,4.086130287188229
23,5.012225653924549,3.502105079839035,3.2591549968258584,3.758271821752871,4.370978114394268
24,5.028779744347836,3.8441361644258873,3.2470860255728833,4.202557266634888,4.353627781473646
25,5.079151225933652,4.037507870315109,3.3336453927516434,4.136888653631367,4.100686755466098
26,4.906144062040486,3.7609158903990076,3.172857573959371,4.0486908009303555,4.222042804943756
27,4.7581977375082385,3.8505482914879234,2.634740468803647,4.170802060574346,4.050256678606636
28,5.078648936312742,3.798398814912529,2.7151309952299805,4.294239470500554,3.9253433514714247
29,4.998804521694979,3.544898066164881,2.892237198215628,4.224719310217197,3.794816200720849
30,4.876476553294305,4.093736954296961,2.9055345536545367,4.000014543506886,3.8968582165195285
31,4.456799941617808,3.9383638433457673,3.083872584707964,4.01877953976799,3.9413214410706545
32,4.776031838021796,3.6493661094906105,2.954183237507288,4.1343993401766035,3.744008427585996
33,4.8767603116921086,3.8912669192300773,3.050716541107117,3.7312078732360034,4.0425630080220305
34,4.591289250439486,3.9201982416901306,3.1052857159110827,4.041068724352077,3.7670003191829067
35,5.006144943754223,3.5716136339468907,2.883557561927915,4.18085236761302,3.676222155535901
36,4.626378652932293,3.9669113105108593,2.9661005344342417,4.001777015784065,4.003622560452894
37,4.607548135059962,3.4014274686016335,3.116885215998021,4.262761870363829,3.924121836202817
38,4.771929663524291,3.747354846100157,3.0650499588098072,3.9648229438724405,3.595176612643478
39,4.45140390431607,3.293870614610334,2.8366992442333197,3.82006086211128,3.9213745284196806
40,4.950224884781711,3.6189819894064734,2.845952951831869,3.8443414496686716,3.874926289503385
41,4.678330672131633,3.6499081900559367,3.036003240088542,4.019526742055903,3.4432239386828947
42,4.763330926772182,3.1416882285702874,2.8621595821607997,3.6465360273105927,3.6741259878503305
43,4.637179653074452,3.631435732269001,2.7675824323471243,3.8552706125474097,3.810735700769042
44,4.487526454156879,3.5435284526808157,2.62255636643745,4.070815979612461,3.484502541983273
45,4.432348780669339,3.313029408884826,2.9430675906197843,4.048509186817067,3.4111048546843117
46,4.418533842203459,3.2647942029228987,3.1120698072355997,3.853280881526925,3.2731812588495144
47,4.602673640915179,3.731623318141982,2.7661507316942946,3.5426011741259353,3.2306808531204747
48,4.595334979809432,3.175058805867276,2.8321071851349946,3.978393253172955,3.382142738483845
49,4.252296724748019,3.4671167876161495,2.7444501709031024,3.8185009864245414,3.683068538370879
50,4.327436592082672,3.121850219261633,2.8137344194520613,3.65747414987207,3.475422121385252
51,4.544324231494411,3.1786882859695997,3.150070940460173,3.6851008741218485,3.4084949619859772
52,4.4798354721511755,3.486836885147203,2.729245852032646,3.6117184120159913,3.419578025172003
53,4.459957623130748,3.0739831313078056,3.1023689201753744,4.12891849165936,3.505636309059524
54,4.121100229556517,3.338596258247759,2.7561092141800696,3.4222243317959493,3.5151018219657053
55,4.206506666313538,3.168537055992136,2.63380037785505,3.6905265930648232,3.4334091813928262
56,4.315477531946534,3.0077920491898094,2.7729420393985023,3.633372011474615,3.409564863839663
57,4.147856533368908,3.5216410385718224,2.6842259713172427,3.6446581590477694,3.8025380041266055
58,4.459826543197634,3.1180828596438057,2.568020154939271,3.595015858494528,3.5778825836021304
59,4.420469026838252,3.3487921515841674,2.7943419168655885,3.593174100425249,3.3612454197498804
60,3.7957986946633135,3.2967715857318307,2.6743108342927395,3.1629930737564615,3.3452849385650887
