epoch,0,1,2,3,4,5,6,7,8,9
1,0.017368199770957483,0.018081256201906523,0.01707240134177506,0.016990830343956355,0.01756138219454671,0.016856580484311396,0.017610850600670514,0.01786448266520696,0.016583194107780336,0.017003849497301004
2,0.016087193032946995,0.016452395272793553,0.0160433060804137,0.01596163515335628,0.016013985533945275,0.015712118912233432,0.01637688500140539,0.016121093886164912,0.01580164107039161,0.016288256134970487
3,0.01545490595003242,0.015420351625672476,0.015404034272275121,0.015547720060822086,0.015972574308665187,0.015368364288230248,0.01629130412790585,0.015442398688789997,0.015415967597491514,0.016131726458157396
4,0.015673600920102938,0.01525410151005591,0.015118074086162203,0.015949121988842917,0.01577491848349952,0.015166150213456206,0.015619937441663064,0.01527417837386331,0.015082009046396689,0.015622340382034017
5,0.015013981141404559,0.014941608709634128,0.01507167965696072,0.015266861687535745,0.015484026776126314,0.014825023780357098,0.016182607648912398,0.015638280603867415,0.015214537349965241,0.01563654413537926
6,0.015082668026307332,0.014935353867131898,0.015176426810571426,0.015142138437639244,0.015007660468569837,0.014721666521094967,0.015120188181312008,0.0151181294327354,0.014982202992464678,0.01550332344861725
7,0.015391017666306083,0.014864706904365891,0.0147495939430089,0.014939540449687183,0.015483297942727752,0.014532377998956769,0.014755755931585074,0.014975672138744631,0.014584403847123999,0.014611449830596625
8,0.014964579434314723,0.014480027548604583,0.015021529985511626,0.014741435977175841,0.01463798259129605,0.014724834718490306,0.014810486846752124,0.014590812128968672,0.014609133622303377,0.014647074477042152
9,0.015376004141500869,0.01426488993808448,0.015173848723657695,0.015107983667035712,0.015030701611434025,0.01477363204623078,0.01480438892254029,0.01486536964377012,0.014843550283882874,0.014421920481533389
10,0.01469489568394124,0.015168483057342065,0.014420173773056677,0.014959502033791625,0.014450619555320317,0.01442160162968205,0.014856243855631229,0.014429943440333019,0.01488058543422503,0.014991182699556477
11,0.014892772083113815,0.01453324113219128,0.014443657930330676,0.01469053685894681,0.014238756510209694,0.014732388002991884,0.01431394685844633,0.014292038090537341,0.014251048850836378,0.014504855520553663
12,0.014575487522090643,0.014165455960960449,0.014703864298678006,0.014357140096697186,0.014352396835841845,0.014163707419403739,0.01509612305972384,0.014113389573280705,0.014333299971908462,0.01439342351045264
13,0.014670772710685624,0.014280762862330902,0.014734705575913824,0.015043695776484687,0.015079081882061026,0.015189593299609129,0.01416094187908411,0.01447948385254359,0.014722336193806432,0.014399039594128088
14,0.014699027500022267,0.014174900723131026,0.014483579160452604,0.014860242677619215,0.014388153659828127,0.014546277021908919,0.014766085569575767,0.014170949312558695,0.014534537738327212,0.014156382156433082
15,0.014413362515292178,0.01402791369961228,0.014071954940321943,0.01463774549169107,0.014443777821755242,0.01413925710685634,0.014476796729433776,0.013753667085544603,0.013930316006303246,0.014122025764410368
