epoch,Run1,Run2,Run3,Run4,Run5
1,2.2354647239882905,4.399191756141099,1.5080295861071369,0.39500242368340843,3.778309206577759
2,2.7474954644288103,4.200335516471004,1.4527086051015392,0.6146264842343054,4.480410002611804
3,3.004096413336316,4.301454191718441,1.9161855328708823,0.8315726794021568,4.637817972392184
4,3.3542400059866364,4.366773009036669,2.128547848271871,0.791347104542731,4.7906425819148994
5,3.3442660495019045,4.956135794441013,2.5044508414688407,0.9155174153107488,4.690756721858129
6,3.501339928406051,4.52661906408825,2.735485875769053,1.0419453947362993,4.734204179055269
7,3.7538158076383796,4.891738131172777,2.8901617555328163,1.2986275195322134,4.711801022769725
8,3.524404185918899,4.644168002182427,3.1104970469801865,0.9882910204016172,5.240108617865317
9,3.7774270649097765,4.60406581486276,3.1163241689511008,1.1440142612868822,5.10855721278177
10,3.874687059133083,4.425874552538692,3.29207677740994,1.168138370508832,4.9530335426912275
11,3.4207335358039264,4.829715207630405,3.1984816227167747,1.4000591912699436,5.010720775783769
12,3.381087147286563,4.677988192813712,3.6351463122614267,1.2366340343114874,5.168307730816252
13,3.5505000339857777,4.381798611629245,3.743900934147686,1.3598376396679235,5.116802265139061
14,3.4544978800148862,4.516848494094474,2.9468643592812263,1.2583218603474273,4.871483341351827
15,3.295519509467403,4.467491986524229,3.8883195657128002,1.5346508795878784,4.86466020391313
16,3.2772483038842966,4.552702744487398,3.235154799659328,1.6236063776671488,5.302194990120302
17,3.374015240583386,4.679417266430633,3.378723351263758,1.4608250539007908,4.876944912012508
18,3.4704056646146926,4.319983802694403,3.574684454590382,1.9187138308617027,5.002069426483731
19,3.499622188339851,4.8433790495557725,3.3652852431497142,1.9679988457474773,4.947463400976697
20,3.339148376531532,4.597969660290098,3.6460295415488173,1.9454895919407673,4.86856985285303
21,3.4235544481590003,4.335336344517317,3.3642101887957256,1.7322572718096192,4.862590155464424
22,3.1383254709278656,4.2672589983654445,3.5392426367045373,2.0820598779252517,4.4535126099125835
23,3.3008456793822822,4.305346319111882,3.350766102887118,1.9855355901283003,4.752304923334632
24,3.2734284685324395,4.354768458976761,3.2541902379262124,1.751659492032753,4.481040006902084
25,3.5056244752869574,4.651368315170187,3.6837607352958237,1.7082191367089161,4.590628465166855
26,3.400720850878976,4.189734474818472,3.247422002805709,1.8608417015496828,4.603092580397546
27,3.611392559592826,3.9416818361749892,3.449600976176292,1.8983629000099738,4.880560222737606
28,3.1295688037198985,4.055079093942544,3.376787630596339,1.9484841103320685,4.656400127678876
29,3.423321283301293,4.139914397676934,3.439181523427693,2.0000871400923126,4.822700094656823
30,3.5135972342162374,4.391190570501904,3.413302339125025,1.9114348767856961,4.739349471250725
31,3.3575232791732703,4.374561614824898,3.3521979736551417,2.0461122678754076,4.46317738753213
32,3.0328317821426256,4.250195667026144,3.276893848551969,2.121590066242696,4.689970662364827
33,3.1201489752879947,4.019315100253036,3.2501565455367847,1.738156706388096,4.382342471453979
34,3.001708656736079,4.091800837184836,3.3603420551213223,2.2865562910386927,4.606291382809465
35,3.32533842386602,4.6234095132643995,3.5255394056209237,2.028598051932647,4.4028315709648895
36,3.2982907984070984,4.057416581796514,3.437524830121615,2.2325459710286704,4.574516254135577
37,3.1242838229637693,4.228191971230854,3.6121241020858665,2.1904270752046395,4.664656047018612
38,3.0852218377528335,4.048591868182356,3.64553724267353,1.9618988720090744,4.478581637242455
39,3.2368031108892166,3.849908872244246,3.214681924893171,1.8715391007338216,4.7206592865543096
40,3.110343130630251,3.654565537249571,2.9646414183884064,1.801353380253113,4.363846649174859
41,3.1710199415625877,3.9832831588415534,3.5618585377125496,1.9313604230700363,4.558478058929879
42,3.2305543604511717,4.1290376727103295,3.6645675343658524,1.594731496136352,4.415958611695209
43,3.2030706633634405,3.9319740150268276,3.3861860760540905,1.8530944409994823,4.053628713444284
44,3.1678326785666147,3.8949935470351313,3.4803913420386783,1.790836570716702,4.3640422379419075
45,3.3018833103829914,3.7691147964577776,3.1727661985477233,1.7233916289518563,4.461809864693559
46,3.1496788587810265,3.8668320001135363,3.491503074534293,2.0361515474257983,4.4479176910661264
47,3.070233603669844,3.9582829656240732,3.452001328416129,1.880160097752136,4.361747506286185
48,3.165314603238608,4.034211010189161,3.077712442857586,1.9945247328786617,4.32747846380965
49,3.1197370843883636,3.715289902394952,3.2428327906410224,2.047884510159072,4.2079988604787
50,2.7221493570692226,4.135297925703319,3.3155490589703187,1.7995609277754057,4.461381078468789
51,3.0167408198170085,3.5445756222943086,3.239582973533357,1.8835987649516206,4.273243566711864
52,3.4756041845457366,3.7645857393854865,3.091720223455627,2.1572776225425083,4.0570473097482065
53,3.2091622375864515,3.8250242793490687,3.1172177879755045,1.93226025770902,4.374558780764889
54,3.1210506660629265,3.264818739949298,3.1931147770429607,2.085405260398481,4.232785084784557
55,3.09159884177063,3.661911973846343,3.4111897059473164,2.3868129480631173,4.3191993755613565
56,2.7653659332834417,4.102291601863372,3.329699220104168,1.9320519667955833,4.198186419254799
57,3.0368961566031873,3.870214029352331,3.6975646948425913,1.9450731245087622,4.409094359120357
58,2.922745029433816,3.748299658253588,3.5384666497056463,2.0057289801747498,4.21076469562233
59,3.395860558773188,3.3443072558795364,3.440104520895413,1.9036849853274584,4.01507422087631
60,2.9384673128904772,3.6656766479704106,3.0678404351608495,1.877594614908487,4.003151843943588
