epoch,0,1,2,3,4
0,0.021286234974107362,0.017340772938178914,0.018579124213817688,0.01769644927800733,0.017817533367740886
1,0.022455840724598435,0.018003454752953254,0.017218716947624207,0.019698533036067344,0.016185204421971234
2,0.018193674624850244,0.018163945309199403,0.01626488591384104,0.01913670401164786,0.0167775338356987
3,0.0168880073128315,0.0168274628669231,0.016019231510857993,0.017754563328886953,0.016562033498521356
4,0.016182793788822206,0.015670995515741495,0.01617582512062874,0.016807334507101097,0.01847081379369711
5,0.015580071268364692,0.015583039263908516,0.017249343128272948,0.019182475170531666,0.016605369748394955
6,0.017237345190002255,0.015967737689283567,0.016697988374178678,0.01587327114782057,0.018094913441760823
7,0.015834136099480756,0.016750656694756266,0.01667457715852475,0.01605082549129441,0.015611530529547776
8,0.015358640122757183,0.01621496293490054,0.016390611121771367,0.01865676202173262,0.01538470812357968
9,0.016992102991365336,0.01766472419259075,0.016278980009762984,0.018295638850192635,0.018239396459174335
10,0.016836148987291442,0.015504072458846092,0.016636036043676024,0.01678516907377421,0.015916265611573027
11,0.016447200750273516,0.015514289362358602,0.0162203412830913,0.01590865515815467,0.017411397451661512
12,0.0157108592859443,0.015235500206261021,0.01841987554736273,0.01575508024850647,0.015703885056477712
13,0.017831689648787622,0.015500461295502881,0.0176972896558714,0.015579408108387774,0.015355116061915591
14,0.016400562340731374,0.01544218053665972,0.015957509264795753,0.02086472652822988,0.015599797643824754
15,0.014929609105931383,0.01475955718776545,0.016246892835188036,0.016430401091433823,0.015844992457599558
16,0.014983633134115541,0.01620859077427109,0.015960356014034532,0.01710862507140079,0.017813851218724742
17,0.014714702096087136,0.014806531098414446,0.015312079831667096,0.01548518315898051,0.016130873981314024
18,0.015495431299374217,0.015647807276836047,0.01707003330792398,0.01437805500946222,0.014926395655978326
19,0.0172242921594983,0.015348261299735235,0.014913795943523343,0.015436565946115137,0.014901717305296786
20,0.016166831929960157,0.014964468091359874,0.015810333006639327,0.017322652430403405,0.018116315805539736
21,0.016744413656015287,0.015064368944150502,0.014893062771274923,0.01546819524089338,0.014658710731762229
22,0.015765565538081575,0.015539676751152854,0.014826367499561338,0.014903087308377165,0.014978731235233684
23,0.014661521829787473,0.015817300780634074,0.014457167663339059,0.014670220212901836,0.015813203490375488
24,0.015285655687910248,0.015457402328036995,0.015351037129149536,0.013791825756180837,0.01465431433251719
25,0.014762300287799481,0.014467232213178858,0.01422214249062385,0.01631881656154673,0.015707184490140823
26,0.014117396779724435,0.015570980248689026,0.014651044971139606,0.014252977090164088,0.01682219904250084
27,0.01509927340318645,0.015386133954705845,0.014263185723984871,0.015331445803520105,0.014947201852987665
28,0.016898298567036767,0.015423594249484923,0.014525587297388912,0.015886318556238132,0.014604899156206408
29,0.015201946239495362,0.015070136204064598,0.014060162724200246,0.014085247802365423,0.013703406217843286
30,0.01711024446134401,0.01458459641592058,0.013519826904094857,0.013520891361334459,0.016723228192133368
31,0.01391955851328435,0.015030784387698117,0.01484148453691163,0.013482182823492287,0.014208099986603351
32,0.013341094777123998,0.01418198144960504,0.015754880742471524,0.015412838554946958,0.013463752297303925
33,0.014545474188701236,0.01435679446638435,0.015715900889091555,0.015444761884546116,0.013853869729744681
34,0.01330703271161233,0.015379679536223954,0.01449672947271255,0.013930555222698161,0.013775990519157502
35,0.013523314330417752,0.016688695842142297,0.01361053780789387,0.015298511300348741,0.013286534719160824
36,0.014124671174061644,0.014822700203453566,0.013468682643436796,0.016895172315077433,0.014731107329542883
37,0.015204953112452764,0.015847267151450063,0.013809035495129176,0.01459904927994209,0.014580427182069639
38,0.013179070747653562,0.014407571727445103,0.013201560586060784,0.014132679597623526,0.013819347786852811
