epoch,0,1,2,3,4
0,0.018495175641968207,0.020056228614332414,0.01879670391218944,0.017920332054204346,0.01890984797034364
1,0.016845989052101273,0.017182749869399935,0.01707352983557201,0.01746429652268815,0.017544959324592185
2,0.016751933689468635,0.01628558018451249,0.016623335473100423,0.01695561745418282,0.016533980534364473
3,0.01739971030717955,0.016179625521526866,0.01645361670278302,0.016872183056332292,0.01686237294778712
4,0.015970031347966304,0.015936550604133633,0.01563005440143185,0.016993761743321033,0.016076288421724223
5,0.0164811822236564,0.016860740107807807,0.016683454525082405,0.016584183031830214,0.015906903378903027
6,0.016381517320482198,0.01625676374390178,0.015400051450048345,0.016708171965191615,0.0162386523383421
7,0.016247124813029926,0.015721936831393474,0.015971181242759185,0.0162061315401352,0.019010784082204402
8,0.016914745355845123,0.015787438835067467,0.016668983081345966,0.016716302880338704,0.017761078896154334
9,0.016544282669900233,0.015886239779786048,0.01676082912244268,0.01618904127270625,0.015892493048455778
10,0.015474569012333968,0.015537306450457703,0.016331871560549365,0.0167311821903902,0.015735194807207555
11,0.016229468010957218,0.017841567893821714,0.015409176735515373,0.01532230414117673,0.015318874789450352
12,0.01550705781551848,0.0155558892411039,0.01635508467217821,0.015168743519185835,0.015245505750034525
13,0.01584504939780483,0.015870555484494554,0.01505585333442349,0.015233284138632747,0.01594423170891514
14,0.016556339869929416,0.015224160956421682,0.014845562811631192,0.015475502307492799,0.01675640327301431
15,0.01525159427773535,0.016463696008773582,0.015627542303802824,0.016376526017496885,0.01588219784037718
16,0.015147654655268714,0.015378144758843474,0.014704663927099685,0.015836646667829888,0.017904079948566385
17,0.016421315146486457,0.015265490967477922,0.014781974054135371,0.015227935592371778,0.015227049719318245
18,0.016249507992029115,0.015082970973735808,0.015685888579162446,0.014926263554881435,0.014749530800621951
19,0.015866565495408984,0.015182793676613324,0.015158876421624596,0.014748889495439944,0.014971176362847354
20,0.015594839345800202,0.016486531096568044,0.015148177251374254,0.014888806920888455,0.01497336999585665
21,0.01497102910481324,0.015440262267199271,0.015767361630584054,0.014899981429127516,0.015426966364606878
22,0.014472606495721522,0.01568591084412473,0.01667179562938347,0.01571500548366742,0.015190397535061384
23,0.01555030775196756,0.015413938913699405,0.014988674205331879,0.014788102377839766,0.016659991441293872
24,0.015424437229450463,0.01612085016530829,0.01503395568232279,0.014957115677927527,0.016313329739953215
25,0.01566085668617636,0.015252349448345859,0.014255270012733823,0.015108125737443747,0.015009145872038606
26,0.015155912735347422,0.01640399487357434,0.014735475879543972,0.014962465721612112,0.014499517277968471
27,0.015185816320101797,0.014653764193344512,0.015114656644349144,0.01507442436287476,0.014753689727918951
