epoch,Run1,Run2,Run3,Run4,Run5
1,1.2829515277272008,2.329777278487881,1.3519572304501013,0.514307622239507,2.6696641486458446
2,2.0326462861704733,2.9546782430405956,1.5130311458934358,0.9063057717887154,2.4626445359931135
3,2.4347912335835393,3.2404003687138023,1.6004572334236447,1.5244542568071409,2.6893207680927667
4,2.4810608645211127,3.53480742193006,1.8081400819288547,1.2431594596831523,2.9795763672146354
5,3.0943071268304654,4.03174936912798,1.4041247096523684,1.717102162511618,3.043293104403768
6,3.1185046021080587,4.13537610448103,1.618955447441019,1.475014738235549,3.3559008709767864
7,2.9764498791953167,3.894977019882479,1.668437096909558,1.4994314228745798,3.0902114822953557
8,3.0731376094377105,4.200806385920706,1.4688423614680433,1.5528071548391413,3.365873925824599
9,3.0741596531307565,4.058669411740605,1.7534669865529,1.7614641703443707,3.003081487524994
10,2.6727178482321223,4.426590524807598,1.7385680230003557,2.2061732422009093,3.1280243543959716
11,3.394564682210941,4.268131846943183,1.6939002276587034,2.1964114007932176,3.1922761625654346
12,3.28637484017708,4.593451042567968,1.900798569556061,2.072120539182059,3.0582785023720924
13,3.131506288437161,4.063153727825515,1.76740371096503,1.9361818813608294,3.298854432529056
14,3.2107294391133245,4.39656832126376,1.5507244416793096,2.1310901883971884,3.243324025432512
15,3.5291275802903908,4.4310901177190765,1.6807412324308184,1.9033566388753782,3.1617611651524706
16,3.1137999673246886,4.545253398952951,1.779103039296888,2.225043491409948,3.7302272858289576
17,3.47905787375905,4.473127874970695,1.8684127809554938,2.2973168395777432,3.708979875301707
18,3.3954175136738467,4.466977281350834,2.425560491225531,2.1348948391603932,3.737877643605319
19,3.5272830522791896,4.755896071149494,2.063119044025171,2.6307069412850406,3.4056026298528925
20,3.6477363778613507,4.42684560100052,1.9203126340886219,2.174211631047735,3.5234282973480155
21,3.4432897187456124,4.901406393827304,2.3105113783727282,2.403338764341499,3.321128978196923
22,3.7662141584380513,4.543654097393715,2.1085440800495983,2.454858155513305,4.043124666755015
23,3.4789087500692792,4.40034316198604,2.071684185004133,2.8399117525923594,3.7246513664386995
24,3.6778860683831462,4.609146578026606,2.2908726328058417,2.914420343676634,3.563506670150627
25,3.8327862445913308,4.644679908522946,3.032809456101963,2.6682460300126873,3.5828844425050503
26,3.179526735032914,4.701541063609116,2.452094183427589,2.675805040239816,3.3053559332943494
27,3.295580569162556,4.835743248509264,2.613366643083523,3.0611709513491383,3.356561236450992
28,3.341862511227132,4.719165909987307,2.438733106874334,2.796979337482964,3.8167964302447674
29,3.416002782816055,4.701524227616637,2.7556063118826764,2.657020816036601,3.4981880947554926
30,3.4299495657724584,4.7375747392943985,2.3755231582261107,2.774023547511967,3.927969160607625
31,3.6008413921025597,4.828453275020142,2.329061639791494,2.8468120145058857,3.8232535370601015
32,3.497579009749938,4.622070003004162,2.5821884961514683,2.673605821172152,3.480650001199082
33,3.6296496333077783,4.603233875818012,2.806061134694732,2.7422295808959576,3.8723518182664076
34,3.0031321387548475,4.874253435924027,2.526582912912282,2.916982052417947,3.78617324000695
35,3.6474796320220384,4.984873970910336,2.630394342977237,2.6896121574372174,3.425607813900085
36,3.5675285052715826,4.668582023652607,2.501690007235802,2.69146684154854,4.175618867063137
37,3.530389461483798,4.654804389359261,2.272057707732003,2.589288942682668,4.076339389226823
38,3.596532126223946,4.422673776683165,2.3856441494835496,2.8222614011105933,3.995102626165104
39,3.29567635247141,4.455252370140284,2.3809561079995185,2.7570178045916216,3.442743775401237
40,3.0550060837805275,4.409625769066778,2.312896385243682,2.7294403890154335,3.500782742847958
41,3.4760125914719837,4.6336420098176,2.9065218562471338,2.8161756444902575,3.422045420404873
42,3.116705606254715,4.570591479532854,2.6948947748650993,2.5773383587714056,3.7552350696276817
43,3.2819371548435057,4.796013273193726,2.589325037314695,2.8339155571309336,3.6970477878824113
44,3.1649916050032756,4.789749071401569,2.9023209130683814,2.837400957303159,3.398872856228967
45,3.149932733453329,4.440326488966018,3.1317028639486164,2.817075779413903,3.696725974219187
46,3.262540976314527,4.663297913212083,2.6668792778930253,2.8552638448732424,3.44812533543336
47,3.3998816918377694,4.594474683418894,2.514923471761544,2.8086671779833416,3.80068740650463
48,3.3006003787352722,4.686269980220373,2.8622896941777216,2.988661478822511,4.055036055737369
49,3.3990605627210306,4.6712815536156045,2.7446158326860175,2.946560623050213,3.582242770174201
50,3.537304709068384,4.617544402449613,2.8886702242853635,2.4610296322969583,4.435234458600672
51,3.255108266691119,4.274321581454705,3.001902930411522,2.827658851944006,4.036891567812225
52,3.4896612054287326,4.4754790747593045,2.893327264413167,3.0228556386061554,3.746391976650655
53,3.446738434591,4.538487619576248,2.8086270262719255,2.9933200216811544,4.427546553967426
54,3.374956625200517,4.740334766332375,2.5391610933381843,2.7894894569636706,4.16418136226638
55,3.326535127239571,4.639557070144617,2.840039525898714,2.986615044312306,4.4101889028767935
56,3.0299931702993237,4.564208664426055,3.062294933693568,2.7031079771354802,4.075766864536981
57,2.9906197766105933,4.335852599816325,2.6197742034350293,2.918725422463689,3.945619960173203
58,3.4608134985898165,4.67929926361958,2.8157080262334304,2.863232288228208,4.323052584185148
59,3.200849813630584,4.6465022314048445,2.9220633216592233,2.654230045378332,3.9187711918940797
60,3.041527069929554,4.689488307148845,3.0065414319174013,2.427386700140009,4.254402124736782
